,Ridge,Lasso,ElasticNet,KNeighborsRegressor,RandomForestRegressor,GradientBoostingRegressor,SVR,value
2012-05-18,911.602995712981,925.999494523489,920.6105679850668,1260.5486461964567,1211.8176774240346,1282.0791403351943,1197.1870688827262,1282.0
2012-05-19,472.6549642480507,494.4715597874506,507.30538071695594,429.6877990544835,347.75647887367194,380.5062008381604,498.9116366461711,437.0
2012-05-20,315.3362011309909,331.7461889021875,348.73950199845336,14.74900912086296,82.16782442237535,22.48628962659262,215.1084656576497,15.0
2012-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-22,803.8699290901428,804.3687650616241,810.7905379217755,924.2712382407682,895.8754181896431,818.2334235391244,877.3220512187311,940.0
2012-05-23,1322.7081771686512,1291.9275722985176,1258.7439186979352,1027.5143020868145,1111.7997096561567,1090.0967088857044,1233.8655471080824,1045.0
2012-05-24,1267.9383677547085,1265.7663487211394,1231.0304028202995,1177.954195119621,1182.6849568401824,1207.8647137884618,1311.9466316054973,1198.0
2012-05-25,896.3686303009961,864.6808688589506,859.8491118431534,1315.611613581005,1200.8642852628823,1261.231961143424,1146.4321638773122,1338.0
2012-05-26,437.0818692928512,462.0911425012683,457.4862344995441,428.70453177976043,410.0210260402302,453.03342628280217,466.944906791251,436.0
2012-05-27,289.9579767638477,288.8567269184636,296.5086092507619,1.714430545814462e-12,84.83042552103906,16.344359658166,208.4936184451534,0.0
2012-05-28,558.5747178410801,563.5180929866858,568.6326232866538,879.0409436034536,889.153344056423,885.8703569726787,728.5518764435874,894.0
2012-05-29,1003.4843453526667,1034.2147141699384,1007.9243661988868,1126.8242968339598,1041.714113537245,1103.1967277516421,1129.2800986412049,1146.0
2012-05-30,1355.2601654870489,1332.2919082375593,1312.723286951311,1261.531913471181,1096.2812508935783,1193.1107594359469,1321.441298707828,1283.0
2012-05-31,1302.153049010056,1305.5446307333418,1284.9440703095681,1234.983697053629,1197.8769571112289,1271.3238656596043,1398.90881598804,1256.0
2012-06-01,913.2531808057935,937.2406911205042,928.6899155365184,1201.5526097130103,1198.9984412167637,1264.7959434321472,1207.2942572659401,1222.0
2012-06-02,481.4248693321424,494.9772250775356,509.1866024949472,317.5953297359239,351.9151262916572,353.25424630229236,521.2730675203345,323.0
2012-06-03,326.1315222128384,330.8006384821093,351.3298538130024,0.9832672747259458,78.51861496815464,13.420353484718266,245.02277675425344,1.0
2012-06-04,573.5913088754234,556.3752717220842,569.730924544533,937.0537128121796,884.2214865096435,892.4454246249549,785.4893807186628,953.0
2012-06-05,1020.8277931715947,1023.4601445900126,1006.6450028376713,1136.6569695812047,1008.0819128486947,1087.4689708418452,1194.848450310847,1156.0
2012-06-06,1362.714365926508,1342.1232400744113,1320.6525467066863,1380.5072537128074,1105.6834017428682,1227.328656167711,1338.0291988223723,1404.0
2012-06-07,1319.3456380443981,1293.606427922544,1281.0577758214988,1428.6873501742946,1204.1641641387594,1292.529093504622,1450.161937114235,1453.0
2012-06-08,929.5720441515272,917.6058302322762,920.8951785789287,1435.5702210973634,1210.630871034705,1271.2231776211029,1240.3585295338066,1460.0
2012-06-09,472.2859320724613,508.4372918616389,516.7424036009513,463.11888639510465,348.66802588459285,357.9883717769045,499.8596193351639,471.0
2012-06-10,321.9667692110348,341.8463667515872,359.14692170618474,2.3988154882073617e-13,81.12268675378846,10.059020905212765,221.6263879087577,0.0
2012-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-12,801.6326614414731,813.9972184188222,814.521261221631,903.6226254715572,893.2810036282696,826.6314057217688,902.3403489393366,919.0
2012-06-13,1325.7966348691689,1302.3130674558772,1271.8997877404615,1185.8203333174115,1119.998177526604,1115.8667171441632,1208.122368328457,1206.0
2012-06-14,1289.249158316918,1252.5416265126696,1230.803972519959,1366.7415118666663,1185.7808503832039,1210.8003013801417,1321.3644397191438,1390.0
2012-06-15,892.0074127452991,882.0733711456398,872.9905703054212,1314.6283463062882,1199.4539890480894,1253.291247784518,1121.8234753840622,1337.0
2012-06-16,448.6821650443067,460.0950132268466,462.305977104785,342.17701160403647,356.0125507570163,352.19660348294036,451.9894973271587,348.0
2012-06-17,277.07057929882745,310.45664547112705,308.7542602978947,29.49801824172724,101.13738897791892,30.099537178404116,163.5314321861725,30.0
2012-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-19,801.349526801226,823.2038400548878,820.4128037046873,970.4848001528015,895.9657788079805,839.907284125595,879.201487159983,987.0
2012-06-20,1329.4171104811112,1322.5812739153334,1283.1482008893806,1097.326278592233,1154.6594274265271,1165.3158819253829,1180.894411161991,1116.0
2012-06-21,1260.926423525319,1301.0170091491445,1252.261272974927,1278.2474571414878,1219.9435090779677,1229.2381908124223,1267.6205706859703,1300.0
2012-06-22,895.5634853738973,890.0436737293651,878.9449279893557,1307.745475383215,1197.2866626427979,1242.8947013384382,1107.5739572019934,1330.0
2012-06-23,450.1170943305612,471.4860460519757,469.67613572603375,346.11008070293434,385.15018783509794,387.94608407135775,432.5996669766716,352.0
2012-06-24,303.5574154205142,291.6917502154366,306.36817379900714,6.882870923069521,91.99253699772626,28.397675152280314,200.64632740807318,7.0
2012-06-25,565.4790899408223,590.1884449318751,589.5254393251341,531.9475956258158,902.0438999521332,882.192124061258,692.3848899733932,541.0
2012-06-26,980.7112213556044,1102.6428661290952,1046.461289974157,614.5420467026524,1159.777636569387,891.316781076357,963.5458512131187,625.0
2012-06-27,1338.6449159584945,1384.4269266091026,1342.7164482386188,1468.018041163257,1133.531008740274,1274.3599182162407,1224.7850498624975,1493.0
2012-06-28,1312.4791239123567,1322.805537953014,1300.4206106821996,1484.7335848335722,1195.995491520815,1300.4912745635354,1386.6457366546986,1510.0
2012-06-29,919.5752042026788,940.6824748172712,934.7103934999086,1372.6411155150172,1211.0252427910307,1296.8784764175043,1196.238162835001,1396.0
2012-06-30,505.6793809915346,482.0164049266419,509.4800330486124,354.95948617544497,353.6359723468214,356.38286709742783,550.5435115718856,361.0
2012-07-01,355.53924406746575,333.3456842282635,363.3421200622346,0.9832672747243252,86.68907861916745,57.66700506757711,276.86281855061253,1.0
2012-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2012-07-03,829.7572805264423,817.0204772025381,823.8413860657176,838.7269853397605,883.7397143693546,813.5936141433538,936.9420424463988,853.0
2012-07-04,1365.4451376019829,1288.2011373568425,1272.0365298563283,1245.7996370755857,1078.2275807848941,1058.6687513633326,1261.7169042703738,1267.0
2012-07-05,1325.281646605907,1240.811722152368,1232.0616124470328,1229.0840934052806,1180.943699512353,1195.2963859446895,1346.0743062996771,1250.0
2012-07-06,933.1206957143861,864.8439905005868,873.2154618355331,1392.3064610094966,1196.473937703749,1243.3778370918542,1123.4908111024276,1416.0
2012-07-07,459.473178519863,484.2522191095665,481.05473336454276,608.6424430542851,384.1938032000656,442.402740443373,398.21743904316827,619.0
2012-07-08,308.2431166170072,313.2378511464841,321.7751813211269,0.9832672747242269,95.2607250047587,13.153492370576839,144.61792731736017,1.0
2012-07-09,578.0967881083818,593.1977350389478,598.1682437566159,961.6353946802864,901.3755171935966,887.4554807635685,701.7148693225004,978.0
2012-07-10,1031.7924910487468,1038.9989371663798,1024.2804768508129,1225.1510243063797,1010.3251519401828,1071.5107092755186,1175.969398763266,1246.0
2012-07-11,1365.6116821531768,1368.3604984889098,1340.8628909830795,1249.732706174489,1108.8846665198164,1249.8620345073691,1297.9845205607899,1271.0
2012-07-12,1315.9781527445332,1330.8595038815974,1306.934614454526,1221.2179552074888,1198.4293646791152,1292.6830406741442,1391.6710517526087,1242.0
2012-07-13,928.7998476202625,953.8858446032,948.998218389005,1484.7335848335726,1210.6537813562093,1298.1313778912156,1171.8143971047743,1510.0
2012-07-14,511.3357564730992,500.07229114514746,526.0271903239931,383.4742371424499,368.2622649628935,403.73472644299187,517.2245061056677,390.0
2012-07-15,335.5059108080571,347.1136582484156,369.72189789253224,2.4084423384124198e-14,76.81286157859046,10.22612471446562,229.5145128375609,0.0
2012-07-16,557.6585072768581,517.9659435976529,530.0483098010105,817.0951052958246,813.9484302839261,722.0774612781865,737.8608758766004,831.0
2012-07-17,1007.163791651659,977.5812523062381,963.5480805807609,1086.5103385702657,984.6626252737154,1034.2880629782164,1139.4176327403093,1105.0
