,value,value_no_cl,cos_month,sin_month,cos_n_week,sin_n_week,cos_weekday,sin_weekday,holiday,day_before_holiday,week_with_holiday,trm_shift_45,trm_shift_60,trm_shift_404,trm_shift_592,gt_carro,gt_moto,gt_RUNT
2018-03-01,,,6.123233995736766e-17,1.0,0.4647231720437686,0.8854560256532099,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2877.3928571428573,2972.881428571429,2933.3399999999997,2928.6971428571424,382.0,825.0,337.0
2018-03-02,,,6.123233995736766e-17,1.0,0.4647231720437686,0.8854560256532099,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2871.327142857143,2976.0042857142857,2932.1899999999996,2924.5285714285715,700.0,935.0,362.0
2018-03-03,,,6.123233995736766e-17,1.0,0.4647231720437686,0.8854560256532099,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2864.707142857143,2979.1271428571426,2931.04,2924.3128571428574,596.0,270.0,385.0
2018-03-04,,,6.123233995736766e-17,1.0,0.4647231720437686,0.8854560256532099,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2858.3414285714284,2976.0814285714287,2927.121428571429,2927.0514285714285,495.0,253.0,283.0
2018-03-05,,,6.123233995736766e-17,1.0,0.35460488704253557,0.9350162426854148,1.0,0.0,0.0,0.0,0.0,2854.2071428571426,2967.0885714285714,2928.155714285714,2926.272857142857,441.0,254.0,146.0
2018-03-06,,,6.123233995736766e-17,1.0,0.35460488704253557,0.9350162426854148,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,2853.6200000000003,2953.054285714286,2927.1485714285714,2927.0728571428567,399.0,270.0,292.0
2018-03-07,,,6.123233995736766e-17,1.0,0.35460488704253557,0.9350162426854148,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2853.0328571428577,2940.8142857142857,2926.9314285714286,2929.8142857142857,432.0,232.0,390.0
2018-03-08,,,6.123233995736766e-17,1.0,0.35460488704253557,0.9350162426854148,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2852.4457142857145,2928.574285714286,2927.254285714286,2932.5557142857147,386.0,263.0,322.0
2018-03-09,,,6.123233995736766e-17,1.0,0.35460488704253557,0.9350162426854148,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2852.2085714285713,2916.3342857142857,2927.577142857143,2935.2971428571427,379.0,223.0,334.0
2018-03-10,,,6.123233995736766e-17,1.0,0.35460488704253557,0.9350162426854148,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2850.847142857143,2904.094285714286,2927.9000000000005,2945.1471428571426,779.0,513.0,414.0
2018-03-11,,,6.123233995736766e-17,1.0,0.35460488704253557,0.9350162426854148,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2846.4757142857147,2900.2985714285714,2931.9185714285713,2962.871428571429,722.0,517.0,272.0
2018-03-12,,,6.123233995736766e-17,1.0,0.23931566428755804,0.970941817426052,1.0,0.0,0.0,0.0,0.0,2838.8014285714285,2898.4428571428575,2930.4742857142855,2983.2200000000003,788.0,514.0,176.0
2018-03-13,,,6.123233995736766e-17,1.0,0.23931566428755804,0.970941817426052,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,2832.1400000000003,2895.5899999999997,2927.5100000000007,3006.5214285714287,672.0,442.0,337.0
2018-03-14,,,6.123233995736766e-17,1.0,0.23931566428755804,0.970941817426052,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2825.4785714285717,2889.5242857142853,2919.7214285714285,3026.3928571428573,688.0,484.0,360.0
2018-03-15,,,6.123233995736766e-17,1.0,0.23931566428755804,0.970941817426052,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2818.8171428571427,2883.4585714285713,2909.097142857143,3046.2642857142855,612.0,455.0,357.0
2018-03-16,,,6.123233995736766e-17,1.0,0.23931566428755804,0.970941817426052,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2817.1700000000005,2877.3928571428573,2898.4728571428573,3066.1357142857146,737.0,497.0,333.0
2018-03-17,,,6.123233995736766e-17,1.0,0.23931566428755804,0.970941817426052,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2815.1185714285716,2871.327142857143,2887.848571428571,3079.4257142857145,643.0,806.0,398.0
